[2026-06-06 19:14:52.207] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...полье, 6, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.56s 
[2026-06-06 19:14:55.270] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.79s 
[2026-06-06 19:14:55.343] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.07s 
[2026-06-06 19:14:55.397] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.92s 
[2026-06-06 19:14:58.441] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.75s 
[2026-06-06 19:14:58.491] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:14:58.543] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.86s 
[2026-06-06 19:15:02.360] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ш., 280, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 3.55s 
[2026-06-06 19:15:02.427] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ш., 280, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.07s 
[2026-06-06 19:15:02.481] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ш., 280, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 3.67s 
[2026-06-06 19:15:05.813] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ш., 280, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 3.06s 
[2026-06-06 19:15:05.886] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ш., 280, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.07s 
[2026-06-06 19:15:05.941] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ш., 280, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 3.19s 
[2026-06-06 19:15:08.898] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ш., 228, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.67s 
[2026-06-06 19:15:08.947] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ш., 228, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:15:08.997] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ш., 228, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.77s 
[2026-06-06 19:15:12.172] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ш., 228, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.89s 
[2026-06-06 19:15:12.224] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ш., 228, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:15:12.275] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ш., 228, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 3.00s 
[2026-06-06 19:15:15.063] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...пр-т, 85, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.51s 
[2026-06-06 19:15:15.119] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...пр-т, 85, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:15:15.175] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...пр-т, 85, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.62s 
[2026-06-06 19:15:17.905] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...пр-т, 85, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.45s 
[2026-06-06 19:15:17.943] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...пр-т, 85, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.04s 
[2026-06-06 19:15:18.005] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...пр-т, 85, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.55s 
[2026-06-06 19:15:21.317] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...е ш., 32, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 3.04s 
[2026-06-06 19:15:21.370] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...е ш., 32, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:15:21.422] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...е ш., 32, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 3.14s 
[2026-06-06 19:15:24.380] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...е ш., 32, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.68s 
[2026-06-06 19:15:24.475] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...е ш., 32, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.09s 
[2026-06-06 19:15:24.534] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...е ш., 32, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.84s 
[2026-06-06 19:15:27.674] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 41, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.85s 
[2026-06-06 19:15:27.727] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 41, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:15:27.780] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 41, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.96s 
[2026-06-06 19:15:30.676] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 41, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.62s 
[2026-06-06 19:15:30.725] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 41, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:15:30.791] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 41, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.74s 
[2026-06-06 19:15:33.651] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 15, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.59s 
[2026-06-06 19:15:33.715] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 15, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.06s 
[2026-06-06 19:15:33.784] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 15, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.72s 
[2026-06-06 19:15:36.821] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 15, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.75s 
[2026-06-06 19:15:36.872] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 15, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:15:36.925] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 15, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.86s 
[2026-06-06 19:15:39.845] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,.... Рузино, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.64s 
[2026-06-06 19:15:39.905] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,.... Рузино, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.06s 
[2026-06-06 19:15:39.959] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,.... Рузино, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.76s 
[2026-06-06 19:15:43.518] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,.... Рузино, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 3.28s 
[2026-06-06 19:15:43.609] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,.... Рузино, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.09s 
[2026-06-06 19:15:43.677] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,.... Рузино, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 3.44s 
[2026-06-06 19:15:46.580] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 58, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.61s 
[2026-06-06 19:15:46.617] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 58, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.03s 
[2026-06-06 19:15:46.664] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 58, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.70s 
[2026-06-06 19:15:49.748] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 58, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.81s 
[2026-06-06 19:15:49.809] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 58, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.06s 
[2026-06-06 19:15:49.859] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 58, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.92s 
[2026-06-06 19:15:52.924] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 45, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.79s 
[2026-06-06 19:15:52.969] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 45, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.04s 
[2026-06-06 19:15:53.018] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 45, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.88s 
[2026-06-06 19:15:56.487] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 45, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 3.18s 
[2026-06-06 19:15:56.533] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 45, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.04s 
[2026-06-06 19:15:56.588] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,... ул., 45, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 3.28s 
[2026-06-06 19:15:59.553] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.69s 
[2026-06-06 19:15:59.602] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 0.05s 
[2026-06-06 19:15:59.652] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.764323,37.556119&rtt=mt&z=10  | ✓ | ⏱: 2.79s 
[2026-06-06 19:16:02.820] [FETCH]... ↓ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 2.89s 
[2026-06-06 19:16:02.879] [SCRAPE].. ◆ https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 0.06s 
[2026-06-06 19:16:02.932] [COMPLETE] ● https://yandex.ru/maps/213/moscow/?ll=37.617700,...я ул., 4, Москва~55.661195,37.508398&rtt=mt&z=10  | ✓ | ⏱: 3.00s 
[2026-06-06 19:40:32.269] [INIT].... → Crawl4AI 0.8.7 
